Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
IL-18R1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.32032763508072387	0.11857804613252862	921.6638142779544	-2.701407600549515	0.00703142341360197	0.03649690091140628	1	Anakinra.No	Anakinra.Yes	0.3364024535658287	0.6567300886465526	0.8567300886465525	*	-0.15	0.85
IL-18R1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4547962366174215	0.12052196032645651	960.6215940331405	-3.7735549221529414	1.7079526686135293e-4	7.152051799819153e-4	4	Anakinra.No	Anakinra.Yes	-0.32261032067826606	0.13218591593915546	0.3321859159391555	***	-0.15	1.85
IL-18R1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.4677930927256477	0.11996283914640424	948.8395865701464	-3.89948334045968	1.0318723857583654e-4	4.3209656153631547e-4	7	Anakinra.No	Anakinra.Yes	-0.5404749292763678	-0.07268183655072012	0.12731816344927988	***	-0.15	2.85
PD-L1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.367600362246729	0.12027173240160287	989.2657473686066	-3.0564152931568644	0.002300124602305972	0.021521523220920828	1	Anakinra.No	Anakinra.Yes	0.24317287189296885	0.6107732341396979	0.8107732341396978	*	-0.15	0.85
PD-L1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.6250308201898764	0.12248904782493325	1031.0649160821497	-5.10274862356019	3.9836059249229815e-7	6.672539924245994e-6	4	Anakinra.No	Anakinra.Yes	-0.1677748861744023	0.45725593401547404	0.657255934015474	***	-0.15	1.85
PD-L1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6728570680872639	0.12184707634398777	1018.252124825797	-5.522143725366983	4.2504879894799855e-8	3.559783691189488e-7	7	Anakinra.No	Anakinra.Yes	-0.40316058643815383	0.26969648164911003	0.46969648164911004	***	-0.15	2.85
CXCL5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3489839455575795	0.12854119025627778	1020.4581358807915	2.714958099126016	0.006740277688554832	0.016128521611899062	7	Anakinra.No	Anakinra.Yes	0.3300156501151914	-0.018968295442388053	0.5300156501151914	*	-0.15	2.85
TRANCE	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5501342991008882	0.11730100370417426	1239.2694176228922	4.6899368439190185	3.0357821129541273e-6	3.389956692798775e-5	4	Anakinra.No	Anakinra.Yes	0.25126571529213976	-0.2988685838087485	0.45126571529213977	***	-0.15	1.85
TRANCE	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.8630314228831191	0.11650564057425906	1226.431323257738	7.407636391072713	2.384718846767672e-13	5.325872091114467e-12	7	Anakinra.No	Anakinra.Yes	0.6687849814951273	-0.19424644138799174	0.8687849814951274	***	-0.15	2.85
HGF	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4874866599344454	0.1299769524533756	1254.4861864834638	-3.7505623168793187	1.8448405450209563e-4	7.27084214802377e-4	4	Anakinra.No	Anakinra.Yes	-0.21360143832062572	0.2738852216138197	0.4738852216138197	***	-0.15	1.85
