Assay	UniProt	Day	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj
SIRT2	Q8IXJ6	1	127	18	3.7722	3.34825	-0.42395000000000005	0.3328515100967331	0.8136370246809032
SIRT2	Q8IXJ6	7	124	17	3.8682499999999997	3.7396	-0.12864999999999993	0.7158091415579821	0.8266151115547691
SLAMF1	Q13291	1	131	15	0.9144	1.1264	0.21200000000000008	0.38415018010552543	0.8378096106083861
SLAMF1	Q13291	7	130	17	0.7289	0.6136	-0.11529999999999996	0.8202589564791659	0.8731788891552411
ST1A1	P50225	1	132	18	2.42295	1.5901	-0.8328500000000001	0.054484889792448143	0.38910406353725896
ST1A1	P50225	7	128	18	3.1654	3.0924500000000004	-0.07294999999999963	0.29894871188255245	0.4588515112615922
STAMBP	O95630	1	129	18	2.4197	2.3129	-0.10680000000000023	0.9693609497023521	0.9842741950823882
STAMBP	O95630	7	128	17	2.4105	2.7978	0.3873000000000002	0.5327538249507515	0.6670068044787723
TGF-alpha	P01135	1	128	18	1.4251	1.3192	-0.1059000000000001	0.4337809265900374	0.8378096106083861
TGF-alpha	P01135	7	128	18	1.6832	1.8268	0.14359999999999995	0.34544956130989457	0.485099383967086
TNF	P01375	1	131	15	1.4639	1.4711	0.007200000000000095	0.9434776621037007	0.9842741950823882
TNF	P01375	7	130	17	1.2461	1.4299	0.18379999999999996	0.3279659530256346	0.485099383967086
TNFB	P01374	1	128	18	0.08549999999999999	-0.08410000000000001	-0.1696	0.39964091526109735	0.8378096106083861
TNFB	P01374	7	128	18	0.26655	-0.41315	-0.6797	0.027849003719035537	0.06564408019486948
TNFRSF9	Q07011	1	129	18	-0.2948	-0.39365	-0.09885	0.5585397404055907	0.8378096106083861
TNFRSF9	Q07011	7	128	17	-0.006449999999999999	-0.2844	-0.27795	0.19789782779118914	0.3349040162620124
TNFSF14	O43557	1	129	18	2.7844	2.34305	-0.44135000000000035	0.25532058533071833	0.7310991549330832
TNFSF14	O43557	7	128	17	2.78695	2.2782	-0.50875	0.6963413518021819	0.8206880217668573
TRAIL	P50591	1	135	18	0.0161	-0.03515	-0.051250000000000004	0.6855610304250512	0.9049405601610677
TRAIL	P50591	7	131	16	0.0672	-0.14730000000000001	-0.21450000000000002	0.03264333539977149	0.07429172884085926
TRANCE	O14788	1	128	18	-2.1778500000000003	-2.5693	-0.39144999999999985	0.027996805648335288	0.30796486213168817
TRANCE	O14788	7	128	18	-1.2489	-2.60615	-1.35725	1.3687061019229674e-5	2.2583650681728962e-4
TWEAK	O43508	1	135	18	-0.3005	-0.46165	-0.16115000000000002	0.48256545785274607	0.8378096106083861
TWEAK	O43508	7	131	16	-0.0113	-0.653	-0.6417	0.0041000932060937245	0.01424242903169399
VEGFA	P15692	1	135	18	1.5946	1.3071000000000002	-0.28749999999999987	0.05895516114200894	0.38910406353725896
VEGFA	P15692	7	131	16	1.6941	1.6176499999999998	-0.07645000000000013	0.7915225501999485	0.8564014477573214
uPA	P00749	1	127	16	0.4208	0.35005	-0.07075000000000004	0.8401321528181778	0.9503358407798186
uPA	P00749	7	125	18	0.1066	0.23275	0.12615	0.2641031844504656	0.42514171155440805
