Assay	n_placebo	n_anakinra	median_placebo	median_anakinra	p.value	adj.p.value
CD5	30	48	0.04675992708058649	0.061230372005317	0.8013272927308605	0.9190092502172744
TNFB	30	48	-0.297654230338655	-0.3614845815791694	0.8092768024301371	0.9190092502172744
CD40	30	48	0.3676061251174563	0.24002952090551516	0.8493043450608107	0.9265021701332631
MMP-1	30	48	0.32099652257679	0.3234161711840353	0.8493043450608107	0.9265021701332631
IL-12B	30	48	-0.7538583076341954	-1.0106624377705264	0.8573602171382435	0.9265021701332631
CD6	30	48	0.02765686265366145	-0.1764525330321965	0.8978462758134629	0.9548523885635241
EN-RAGE	30	48	0.45663626692545	0.3936824940700895	0.9222731886456148	0.965504744363378
FGF-19	30	48	-0.22756833214696537	-0.3791970732333695	0.9549528142468287	0.971324538699762
TRANCE	30	48	-0.01336142951573499	0.00798840422457249	0.9631367336433627	0.971324538699762
CXCL9	30	48	-0.12866879735775	0.040615989674089525	0.971324538699762	0.971324538699762
