Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
TRAIL	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4029027986999758	0.16111957884788486	1238.9291003746023	2.5006445621382967	0.012525104239248679	0.032276230154986985	4	Placebo.No	Placebo.Yes	0.17353782608002438	-0.22936497261995142	2	4	3	0.3735378260800244	*	0.15	2.15
TRAIL	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5941357406718616	0.16186719214261683	1248.9031236504795	3.6705136649827383	2.5227428083207545e-4	0.0014085314013124212	7	Placebo.No	Placebo.Yes	0.45947511884647	-0.1346606218253915	2	4	3	0.65947511884647	**	0.15	3.15
CXCL9	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.6375279110719294	0.16230495777591852	1129.752813986334	-3.9279632600755994	9.086037497182558e-5	7.609556403890392e-4	4	Placebo.No	Placebo.Yes	-0.18355355930947706	0.4539743517624524	2	4	3	0.6539743517624523	***	0.15	2.15
CXCL9	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.4013589113434983	0.16296255283549788	1139.773604848719	-2.4628904270335594	0.013929210462803945	0.03888571254199435	7	Placebo.No	Placebo.Yes	-0.028746408565778606	0.37261250277771973	2	4	3	0.5726125027777198	*	0.15	3.15
CXCL1	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.41641812928088373	0.16451800538876307	1196.9398510864316	-2.531140152695566	0.0114964464309227	0.03081047643487284	4	Placebo.No	Placebo.Yes	-0.0340877047350139	0.38233042454586985	2	4	3	0.5823304245458698	*	0.15	2.15
CD6	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	0.43561367033607906	0.16156808930806943	1102.3842166375252	2.6961615514649933	0.007121201894181392	0.02168729667773424	4	Placebo.No	Placebo.Yes	0.14173847464896272	-0.29387519568711634	2	4	3	0.34173847464896273	*	0.15	2.15
CD6	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.9345463353699264	0.16219797546095355	1112.2621305696125	5.76176325699517	1.0767783448871195e-8	3.010517413913247e-7	7	Placebo.No	Placebo.Yes	0.4432313258968267	-0.4913150094730997	2	4	3	0.6432313258968267	***	0.15	3.15
SCF	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4331946948390298	0.15800557024332904	1019.4373470936976	2.7416419191545507	0.0062202808060209825	0.019845657809685995	4	Placebo.No	Placebo.Yes	0.03851185058019597	-0.3946828442588338	2	4	3	0.23851185058019597	*	0.15	2.15
SCF	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.6598976544522286	0.15854543807752344	1028.5561989807045	4.162198940909045	3.415600982718064e-5	2.5427251760234477e-4	7	Placebo.No	Placebo.Yes	0.14912292141306877	-0.5107747330391598	2	4	3	0.3491229214130688	***	0.15	3.15
CCL11	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.4245590506239494	0.16144286512787712	1106.4741994190624	2.629778964141034	0.00866258766034685	0.02638151696560177	7	Placebo.No	Placebo.Yes	0.4273935990407407	0.002834548416791304	2	4	3	0.6273935990407407	*	0.15	3.15
LIF-R	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.45428909800712	0.15594948676884346	1109.313886235132	-2.9130528571760625	0.0036508810644557683	0.0222371846653215	1	Placebo.No	Placebo.Yes	0.2545948869350603	0.7088839849421803	2	4	3	0.9088839849421804	*	0.15	1.15
CCL19	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.35970789440294415	0.15834238243873844	918.5779062901531	-2.27170949977409	0.02333460315468436	0.048856825355120384	4	Placebo.No	Placebo.Yes	0.052708641763114766	0.4124165361660589	2	4	3	0.612416536166059	*	0.15	2.15
IL-18R1	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4222326406785175	0.1518071063899955	968.2647962487989	-2.7813759890383087	0.005517994457337732	0.019458190981138317	4	Placebo.No	Placebo.Yes	-0.2685616980139664	0.1536709426645511	2	4	3	0.3536709426645511	*	0.15	2.15
IL-18R1	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.4020377770423811	0.15227819384598063	976.6979215193983	-2.6401533068419227	0.008419013832131459	0.02638151696560177	7	Placebo.No	Placebo.Yes	-0.3939757556578991	0.008062021384481942	2	4	3	0.20806202138448196	*	0.15	3.15
PD-L1	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.6106731729954743	0.15216329687253569	985.5602855762506	-4.013275116580996	6.441909717079167e-5	0.002020278678776238	1	Placebo.No	Placebo.Yes	0.1708984319546134	0.7815716049500877	2	4	3	0.9815716049500878	**	0.15	1.15
PD-L1	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.884039863622854	0.15520996863962347	1033.1324924219502	-5.695767297495401	1.6004280644988695e-8	2.6807170080356064e-7	4	Placebo.No	Placebo.Yes	-0.18642042534535194	0.6976194382775021	2	4	3	0.897619438277502	***	0.15	2.15
PD-L1	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5506379968898641	0.15575295667738692	1042.4081981678114	-3.5353293358687736	4.2515486794046995e-4	0.0021911827809239608	7	Placebo.No	Placebo.Yes	-0.32602956424578927	0.22460843264407485	2	4	3	0.4246084326440749	**	0.15	3.15
TRANCE	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	0.5512516696099197	0.1509315550165636	1046.2618438085917	3.652328829113461	2.727459436591233e-4	0.003654795645032252	1	Placebo.No	Placebo.Yes	-0.216320165126934	-0.7675718347368536	2	4	3	-0.01632016512693399	**	0.15	1.15
TRANCE	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	0.5982712523454989	0.15502214719855986	1105.972861974807	3.8592630998666544	1.2030899204444731e-4	8.956336074419966e-4	4	Placebo.No	Placebo.Yes	0.05402473548190378	-0.5442465168635953	2	4	3	0.2540247354819038	***	0.15	2.15
TRANCE	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.7428213142520126	0.15783170808943625	1148.0206798805273	4.70641370637064	2.828060868968998e-6	2.3685009777615357e-5	7	Placebo.No	Placebo.Yes	0.47350763249623185	-0.2693136817557807	2	4	3	0.6735076324962319	***	0.15	3.15
HGF	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4842222951796615	0.16363987511671765	1266.328324084594	-2.9590727494401072	0.0031430067372801465	0.012387144199868813	4	Placebo.No	Placebo.Yes	-0.07702315105594461	0.4071991441237169	2	4	3	0.6071991441237169	*	0.15	2.15
HGF	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5035477200516207	0.16442267592321375	1276.1182530072037	-3.0625199184009158	0.002240744786858706	0.008831170630560783	7	Placebo.No	Placebo.Yes	-0.010861285297459805	0.492686434754161	2	4	3	0.692686434754161	**	0.15	3.15
IL-12B	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.4459036773021035	0.13450536394020193	1198.4873871689952	3.3151367665927602	9.433961907900951e-4	0.004213836318862425	7	Placebo.No	Placebo.Yes	0.19110264232071061	-0.2548010349813929	2	4	3	0.3911026423207106	**	0.15	3.15
MMP-10	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4046864869963311	0.15662593252243073	1001.2945296905663	-2.5837770315485598	0.00991320512759736	0.027674364314542628	4	Placebo.No	Placebo.Yes	-0.018585041973077532	0.38610144502325355	2	4	3	0.5861014450232536	*	0.15	2.15
IL10	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.3944359433390619	0.15227719553264585	1163.3541379234798	-2.5902495902907603	0.00971050921556106	0.027674364314542628	4	Placebo.No	Placebo.Yes	-0.29306965097383375	0.10136629236522812	2	4	3	0.30136629236522816	*	0.15	2.15
TNF	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.38868001414719827	0.16433436740483975	1146.0873819435712	-2.365177900917586	0.018187217836134573	0.040618119834033885	4	Placebo.No	Placebo.Yes	0.01285108563578275	0.401531099782981	2	4	3	0.601531099782981	*	0.15	2.15
CCL23	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5529482749829372	0.15919788961535014	1108.3581192738482	-3.473339227793513	5.338658697606971e-4	0.0032517284794515186	4	Placebo.No	Placebo.Yes	-0.26738207631704153	0.2855661986658956	2	4	3	0.4855661986658956	**	0.15	2.15
CD5	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.7776785270696366	0.1623410312573274	1070.5963580335429	4.790400313750227	1.8987411871371576e-6	1.8173665648312793e-5	7	Placebo.No	Placebo.Yes	0.5628007141128131	-0.21487781295682354	2	4	3	0.762800714112813	***	0.15	3.15
Flt3L	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	0.6042487810123491	0.1574912167422874	1274.3773779711794	3.8367141578512203	1.307966491548584e-4	7.966704993977739e-4	7	Placebo.No	Placebo.Yes	0.534278986347128	-0.06996979466522119	2	4	3	0.734278986347128	***	0.15	3.15
CXCL10	Day*Allocation*srf14	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5353992877017372	0.13676461615388105	1128.1099579387258	-3.9147500483555726	9.591967849372633e-5	0.002020278678776238	1	Placebo.No	Placebo.Yes	0.7246179897886865	1.2600172774904237	2	4	3	1.4600172774904236	**	0.15	1.15
CXCL10	Day*Allocation*srf14	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7462498162747164	0.1400804752367975	1177.8863920258773	-5.327293579017537	1.193457151547452e-7	1.5992325830735858e-6	4	Placebo.No	Placebo.Yes	-0.2764387097165977	0.46981110655811875	2	4	3	0.6698111065581187	***	0.15	2.15
CXCL10	Day*Allocation*srf14	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5559659947994934	0.1406849069758599	1188.0142185830482	-3.9518524534752797	8.211949052133808e-5	5.502005864929651e-4	7	Placebo.No	Placebo.Yes	-0.5802646802475834	-0.02429868544809001	2	4	3	0.17570131455191002	***	0.15	3.15
