Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
LIF-R	4	No	-0.1596881197236814	0.05682451013651694	976.0648551686145	-0.2712003903410866	-0.04817584910627622	No	SRF-
LIF-R	7	No	-0.2724820712406034	0.05771905330313538	1014.9089289509558	-0.3857444090673765	-0.15921973341383033	No	SRF-
LIF-R	1	Yes	0.6028630630008501	0.09462842570781956	976.107931874385	0.4171644971510018	0.7885616288506985	Yes	SRF+
LIF-R	4	Yes	0.038781616403808464	0.09720496133524904	1036.215161154538	-0.15195939998249636	0.2295226327901133	Yes	SRF+
LIF-R	7	Yes	-0.34803999413109565	0.0968247740783837	1027.4213074920253	-0.5380368874621	-0.15804310080009132	Yes	SRF+
PD-L1	1	No	0.2068364389443274	0.05588217277868112	897.8372941276011	0.09716154483720814	0.3165113330514467	No	SRF-
PD-L1	4	No	-0.1777217308168817	0.055533284607306305	881.9145468671154	-0.28671454989216677	-0.06872891174159661	No	SRF-
PD-L1	7	No	-0.3647750685036908	0.056255120861030065	915.2863065125674	-0.4751790730567549	-0.2543710639506267	No	SRF-
PD-L1	1	Yes	0.6752913247835263	0.0924723078223609	883.3024531548723	0.4938002456239042	0.8567824039431484	Yes	SRF+
PD-L1	4	Yes	0.555374142913797	0.09458779993326795	937.2691027009699	0.3697457513928285	0.7410025344347656	Yes	SRF+
PD-L1	7	Yes	0.22835915616196323	0.09427566775589061	929.2856348155614	0.04334126831327009	0.41337704401065634	Yes	SRF+
TRANCE	1	No	-0.1894792535730046	0.052558859161799525	1076.1325055829761	-0.2926087157402307	-0.08634979140577853	No	SRF-
TRANCE	4	No	0.1477177782931431	0.05211264738688638	1056.6262981041148	0.0454617343636845	0.24997382222260167	No	SRF-
TRANCE	7	No	0.5603149500876207	0.053040221598966555	1097.836561675655	0.4562432892081454	0.664386610967096	No	SRF-
