Assay	Day	more_diff	more_p	more_p_adj	more_sig	UniProt	n_no	n_yes	median_no	median_yes	save_diff	save_p	save_p_adj	save_sig_fdr	save_sig_p	same_direction	overlap_fdr	overlap_p
Flt3L	1	NA	NA	NA	NA	P49771	135	18	-0.4987	-0.48995	0.00874999999999998	0.5540133100610416	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF9	1	NA	NA	NA	NA	Q07011	129	18	-0.2948	-0.39365	-0.09885	0.5585397404055907	0.8378096106083861	FALSE	FALSE	FALSE	FALSE	FALSE
MCP-4	1	-0.4162495372962475	8.049843386798046e-4	0.00899127294058446	TRUE	Q99616	135	18	1.2116	1.14015	-0.07145000000000001	0.5769942544586697	0.8462582398727155	FALSE	FALSE	TRUE	FALSE	FALSE
FGF-21	1	NA	NA	NA	NA	Q9NSA1	131	18	1.7365	1.1724999999999999	-0.5640000000000001	0.6184760689190625	0.875677385704936	FALSE	FALSE	FALSE	FALSE	FALSE
DNER	1	NA	NA	NA	NA	Q8NFT8	125	16	-0.2055	-0.24264999999999998	-0.03714999999999999	0.6235884413353332	0.875677385704936	FALSE	FALSE	FALSE	FALSE	FALSE
MCP-1	1	NA	NA	NA	NA	P13500	129	18	0.9875	0.9034	-0.08410000000000006	0.651230248828467	0.889124754250228	FALSE	FALSE	FALSE	FALSE	FALSE
CASP-8	1	NA	NA	NA	NA	Q14790	131	18	4.4333	4.17	-0.2633000000000001	0.6601077720948663	0.889124754250228	FALSE	FALSE	FALSE	FALSE	FALSE
TRAIL	1	NA	NA	NA	NA	P50591	135	18	0.0161	-0.03515	-0.051250000000000004	0.6855610304250512	0.9049405601610677	FALSE	FALSE	FALSE	FALSE	FALSE
CXCL1	1	NA	NA	NA	NA	P09341	125	16	3.0459	2.49715	-0.5487500000000001	0.7037477844336388	0.9107324269141209	FALSE	FALSE	FALSE	FALSE	FALSE
EN-RAGE	1	0.3437499985196872	0.00619191272839855	0.03649690091140628	TRUE	P80511	127	18	1.472	1.47695	0.00495000000000001	0.7347707389132201	0.917181367086961	FALSE	FALSE	TRUE	FALSE	FALSE
CCL25	1	NA	NA	NA	NA	O15444	135	18	0.3023	0.36265000000000003	0.060350000000000015	0.7490098868457566	0.917181367086961	FALSE	FALSE	FALSE	FALSE	FALSE
CCL19	1	NA	NA	NA	NA	Q99731	132	18	2.3684000000000003	2.3158000000000003	-0.05259999999999998	0.7504211185256953	0.917181367086961	FALSE	FALSE	FALSE	FALSE	FALSE
ADA	1	NA	NA	NA	NA	P00813	135	18	1.2257	1.06085	-0.16484999999999994	0.7662419131264209	0.919490295751705	FALSE	FALSE	FALSE	FALSE	FALSE
CSF-1	1	NA	NA	NA	NA	P09603	125	16	1.8263	1.88785	0.061549999999999994	0.8175015569068621	0.9503358407798186	FALSE	FALSE	FALSE	FALSE	FALSE
FGF-19	1	NA	NA	NA	NA	O95750	125	16	-0.101	0.0748	0.1758	0.8225555090586927	0.9503358407798186	FALSE	FALSE	FALSE	FALSE	FALSE
uPA	1	NA	NA	NA	NA	P00749	127	16	0.4208	0.35005	-0.07075000000000004	0.8401321528181778	0.9503358407798186	FALSE	FALSE	FALSE	FALSE	FALSE
IL-12B	1	NA	NA	NA	NA	P29460	135	18	0.2372	0.26685000000000003	0.029650000000000037	0.8495426455455954	0.9503358407798186	FALSE	FALSE	FALSE	FALSE	FALSE
IL7	1	NA	NA	NA	NA	P13232	128	18	1.3865500000000002	1.31175	-0.0748000000000002	0.8652910158952933	0.9518201174848228	FALSE	FALSE	FALSE	FALSE	FALSE
CST5	1	NA	NA	NA	NA	P28325	129	18	-0.4768	-0.53485	-0.058050000000000046	0.8848881058612896	0.9574199178171331	FALSE	FALSE	FALSE	FALSE	FALSE
OSM	1	NA	NA	NA	NA	P13725	128	18	2.78615	2.90775	0.12159999999999993	0.9075959324298923	0.9661505087156917	FALSE	FALSE	FALSE	FALSE	FALSE
TNF	1	NA	NA	NA	NA	P01375	131	15	1.4639	1.4711	0.007200000000000095	0.9434776621037007	0.9842741950823882	FALSE	FALSE	FALSE	FALSE	FALSE
IL-10RB	1	NA	NA	NA	NA	Q08334	125	16	0.2561	0.25605	-4.999999999999449e-5	0.9559374613876307	0.9842741950823882	FALSE	FALSE	FALSE	FALSE	FALSE
STAMBP	1	NA	NA	NA	NA	O95630	129	18	2.4197	2.3129	-0.10680000000000023	0.9693609497023521	0.9842741950823882	FALSE	FALSE	FALSE	FALSE	FALSE
MMP-10	1	NA	NA	NA	NA	P09238	125	16	-0.1215	-0.11674999999999999	0.004750000000000004	0.9870344062900973	0.9870344062900973	FALSE	FALSE	FALSE	FALSE	FALSE
IL10	1	0.42130416544762156	3.4273186896745933e-4	0.00574075880520494	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
