Assay	term	contrast	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
CD8A	Day*srf14	Day7 No - Day7 Yes	0	0.24263501331968373	0.1048694274796043	1124.7983827497942	2.3136868308628173	0.020864486849995534	0.0399405891128486
CD8A	Day*srf14	Day1 Yes - Day4 Yes	0	0.2979285275471677	0.08798795031183534	1061.7299924936253	3.3860150906037534	7.351241263971619e-4	0.0018943583257157635
CD8A	Day*srf14	Day1 Yes - Day7 Yes	0	0.3577361741423294	0.08773508952520816	1062.832941435368	4.07745835877382	4.8927413073878916e-5	9.36610478842825e-5
CD8A	Day*srf14	Day4 Yes - Day7 Yes	0	0.05980764659516168	0.08944726578561639	1048.5185122645396	0.6686358277122326	0.5038749849766252	0.6369740376119601
MCP-3	Day*srf14	Day1 No - Day4 No	0	0.45419664033860563	0.04810006894387939	1032.782845498128	9.442744060690188	2.3365823147654896e-20	1.1182215363520557e-19
MCP-3	Day*srf14	Day1 No - Day7 No	0	0.6599482851576332	0.04883263865926041	1039.8212958300655	13.514491603915888	1.8454601955292024e-38	9.51121793080435e-38
MCP-3	Day*srf14	Day1 No - Day1 Yes	0	-0.4651131620454878	0.0954804721587576	1079.3890223851242	-4.87129097217003	1.2743538212216642e-6	2.8460568673950498e-5
MCP-3	Day*srf14	Day1 No - Day4 Yes	0	-0.35175194603915294	0.09777540925664001	1130.6916171105481	-3.5975502297911905	3.351120523632288e-4	0.0011817109214913857
MCP-3	Day*srf14	Day1 No - Day7 Yes	0	-0.21546658319871026	0.09744613971588413	1123.376452245453	-2.211135134002525	0.027227291241727663	0.04800601350515141
MCP-3	Day*srf14	Day4 No - Day7 No	0	0.2057516448190275	0.04836621787395065	1034.2582191467231	4.25403626463508	2.289795427503404e-5	5.900626678566465e-5
MCP-3	Day*srf14	Day4 No - Day1 Yes	0	-0.9193098023840934	0.09528886878013272	1074.313007625515	-9.647609570277165	3.529249834776305e-21	2.9557467366251553e-20
MCP-3	Day*srf14	Day4 No - Day4 Yes	0	-0.8059485863777586	0.09758793162856995	1125.9489740720749	-8.258691140675925	4.0933980140447967e-16	1.371288334705007e-14
MCP-3	Day*srf14	Day4 No - Day7 Yes	0	-0.6696632235373159	0.09725845844330348	1118.5961174507083	-6.88539829086119	9.588069114395466e-12	3.212003153322481e-10
MCP-3	Day*srf14	Day7 No - Day1 Yes	0	-1.1250614472031208	0.0955402909703817	1080.8853842488115	-11.77577999581244	3.335480960590662e-30	3.192531776565348e-29
MCP-3	Day*srf14	Day7 No - Day4 Yes	0	-1.011700231196786	0.09783331893222141	1132.0558183748576	-10.341060103436625	5.1758468303702676e-24	1.1559391254493598e-22
MCP-3	Day*srf14	Day7 No - Day7 Yes	0	-0.8754148683563434	0.09750481909772998	1124.7793681846115	-8.978170273603677	1.1311486433226991e-18	3.789347955131042e-17
MCP-3	Day*srf14	Day1 Yes - Day4 Yes	0	0.11336121600633489	0.08180768991623637	1061.7283475150666	1.3857036682298016	0.16612840225827688	0.22261205902609102
MCP-3	Day*srf14	Day1 Yes - Day7 Yes	0	0.24964657884677754	0.0815725910077673	1062.831303320886	3.060422327678746	0.0022657035153032285	0.003530282221518984
