Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
CD40	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2965375231159932	0.12967779247868405	1151.7203649321202	-2.2867255637833046	0.022392651352858266	0.041675212240041774	7	Anakinra.No	Anakinra.Yes	0.21552274676105104	0.5120602698770442	1	3	2	0.7120602698770442	*	-0.15	2.85
IFN-gamma	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.28209949277790936	0.11729138555259244	1289.7348875132318	-2.4051168928464777	0.01630743955286063	0.03213524853063712	7	Anakinra.No	Anakinra.Yes	-0.2803810953403457	0.0017183974375636207	1	3	2	0.20171839743756365	*	-0.15	2.85
MCP-2	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.35961862403862105	0.11437599992396416	941.3050498385486	-3.1441790609716316	0.0017177306349075482	0.014385994067350716	1	Anakinra.No	Anakinra.Yes	0.5479278357848175	0.9075464598234386	1	3	2	1.1075464598234386	*	-0.15	0.85
MCP-2	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.31481728684578303	0.11629074448867095	980.8608479668408	-2.707156861279296	0.0069041542404496385	0.01779147438885099	4	Anakinra.No	Anakinra.Yes	-0.18286312613929664	0.1319541607064864	1	3	2	0.3319541607064864	*	-0.15	1.85
MCP-2	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.28308492183788125	0.11573818989361166	968.8181165662946	-2.445907630818292	0.014625798999935857	0.030433269800095874	7	Anakinra.No	Anakinra.Yes	-0.4536979789259695	-0.17061305708808822	1	3	2	0.029386942911911795	*	-0.15	2.85
CCL25	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.47296181017191546	0.13057779375920228	1016.779716601419	3.6220692397675327	3.0669347149174086e-4	0.001081498031049823	4	Anakinra.No	Anakinra.Yes	0.1732178684658417	-0.29974394170607377	1	3	2	0.3732178684658417	**	-0.15	1.85
CCL25	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3939226569541851	0.12943000505383134	994.6305213222092	3.043518825409521	0.002399734415873442	0.006699258577646692	7	Anakinra.No	Anakinra.Yes	0.11959014973671077	-0.2743325072174743	1	3	2	0.3195901497367108	**	-0.15	2.85
CX3CL1	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.4317573036220179	0.12993235619658333	980.7808003724198	-3.322939075843306	9.236724561351306e-4	0.002946954979097798	7	Anakinra.No	Anakinra.Yes	-0.07763890860905005	0.3541183950129679	1	3	2	0.5541183950129679	**	-0.15	2.85
TNFRSF9	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.4612715542187466	0.12258149265685893	1056.4292647474913	3.762978768010104	1.7713547424383865e-4	6.981221631963053e-4	4	Anakinra.No	Anakinra.Yes	0.22563280931158602	-0.23563874490716058	1	3	2	0.42563280931158604	***	-0.15	1.85
TNFRSF9	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.2790543468263357	0.1219220525497798	1043.4120654630055	2.2887930525316578	0.022290518253758763	0.041675212240041774	7	Anakinra.No	Anakinra.Yes	0.5608291909233384	0.2817748440970027	1	3	2	0.7608291909233384	*	-0.15	2.85
TWEAK	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4275785916800238	0.1325042654814755	1098.8184120199371	3.226904357579346	0.0012883302374395284	0.003923551177656745	7	Anakinra.No	Anakinra.Yes	0.3576180403647183	-0.06996055131530554	1	3	2	0.5576180403647183	**	-0.15	2.85
CCL20	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.43132453841553675	0.12508539349122208	1079.9753540768609	-3.448240648863651	5.860050506824428e-4	0.007852467679144734	1	Anakinra.No	Anakinra.Yes	0.1806138007379784	0.6119383391535151	1	3	2	0.8119383391535151	**	-0.15	0.85
CCL20	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.451300022576616	0.12765584975188046	1122.753261304694	-3.5352866590429635	4.2392611177896963e-4	0.001383973674976756	4	Anakinra.No	Anakinra.Yes	-0.16447844146525015	0.28682158111136585	1	3	2	0.48682158111136586	**	-0.15	1.85
CCL20	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.7171593558836483	0.12690391548517393	1109.3492707927835	-5.651199595708561	2.0245691987213832e-8	2.7129227262866534e-7	7	Anakinra.No	Anakinra.Yes	-0.2575946964952178	0.4595646593884305	1	3	2	0.6595646593884306	***	-0.15	2.85
TNFB	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.48123572595046404	0.12431237401727319	1098.2693731119002	3.871181205851611	1.1469561660520446e-4	5.911235625037461e-4	4	Anakinra.No	Anakinra.Yes	0.3489261703596873	-0.1323095555907767	1	3	2	0.5489261703596873	***	-0.15	1.85
TNFB	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.49435197068983494	0.12317407868658312	1076.1854652181182	4.013441593890183	6.398341812800847e-5	2.679305634110355e-4	7	Anakinra.No	Anakinra.Yes	0.372607002711568	-0.12174496797826692	1	3	2	0.572607002711568	***	-0.15	2.85
CSF-1	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.35807417474015724	0.1224021189376703	1427.2635971448017	-2.9253919609226373	0.003494594158628412	0.008671770689929763	7	Anakinra.No	Anakinra.Yes	-0.34725925681010156	0.010814917930055706	1	3	2	0.21081491793005572	**	-0.15	2.85
