Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
LIF-R	7	Yes	-0.35461888925254237	0.09560298103721457	1024.4982899692086	-0.5422189191589466	-0.16701885934613817	Yes	SRF+
PD-L1	1	No	0.2226842523760223	0.051172219918415834	881.9070942344532	0.1222507085750428	0.32311779617700176	No	SRF-
PD-L1	4	No	-0.173863391061214	0.0511251187185528	879.2561422730678	-0.2742049070903139	-0.0735218750321141	No	SRF-
PD-L1	7	No	-0.3816944794333985	0.05156095030862751	901.5104192246498	-0.4828879438773756	-0.2805010149894214	No	SRF-
PD-L1	1	Yes	0.6648786972262667	0.09154762108891246	888.0573260326139	0.48520377750478794	0.8445536169477454	Yes	SRF+
PD-L1	4	Yes	0.5378763836723466	0.09349628180732626	938.0772705247507	0.35439029894969887	0.7213624683949943	Yes	SRF+
PD-L1	7	Yes	0.2362895697916761	0.09308838401298247	927.4034467479727	0.053601266564755834	0.41897787301859635	Yes	SRF+
TRANCE	1	No	-0.18046912611479923	0.048117597854560844	1052.0252311694892	-0.27488651084402244	-0.08605174138557603	No	SRF-
TRANCE	4	No	0.1930505856299963	0.048054344544114815	1048.4327630554774	0.09875694576521303	0.28734422549477956	No	SRF-
TRANCE	7	No	0.6085439607996694	0.04861784668322718	1076.5427718081678	0.5131474794326333	0.7039404421667056	No	SRF-
TRANCE	1	Yes	-0.5193619148677543	0.0861536014411996	1058.6825758297903	-0.6884131389558317	-0.3503106907796769	Yes	SRF+
TRANCE	4	Yes	-0.2917206429415534	0.08857491106183805	1115.4062554502675	-0.4655128627878148	-0.11792842309529203	Yes	SRF+
TRANCE	7	Yes	-0.1902836547715777	0.0880651942227173	1103.3613397151223	-0.3630778117896466	-0.017489497753508748	Yes	SRF+
HGF	1	No	-0.11889523320379354	0.05312134278892112	1066.1512216144667	-0.22312948310978145	-0.01466098329780563	No	SRF-
HGF	4	No	-0.17420965228056828	0.05304993024528359	1062.5157557931327	-0.2783041818835536	-0.07011512267758295	No	SRF-
HGF	7	No	-0.09916749987075701	0.0536844266237051	1090.8243419330406	-0.20450392028754694	0.006168920546032908	No	SRF-
HGF	1	Yes	0.10437436799320908	0.09511790343260232	1072.7575512323651	-0.08226387203600145	0.29101260802241963	Yes	SRF+
HGF	4	Yes	0.3287773805298928	0.09783615741605645	1129.3914013095555	0.13681631542791353	0.5207384456318721	Yes	SRF+
HGF	7	Yes	0.4752187680282366	0.09726371682280384	1117.3775383149746	0.28437866827245517	0.666058867784018	Yes	SRF+
IL-12B	1	No	0.8846641198023066	0.04356206322855696	1015.8364956314954	0.7991821955427623	0.970146044061851	No	SRF-
IL-12B	4	No	0.17759686450435105	0.04350820413273503	1012.3817167108203	0.09222028051515554	0.26297344849354654	No	SRF-
IL-12B	7	No	0.13320245453709165	0.04399145207014503	1039.771009397604	0.046880309980528515	0.2195245990936548	No	SRF-
IL-12B	1	Yes	0.9952995507629182	0.07798542831062905	1022.5605858211069	0.842269788354056	1.1483293131717804	Yes	SRF+
IL-12B	4	Yes	-0.03287453423889348	0.08007822150684603	1079.0777574426513	-0.19000120455167446	0.12425213607388752	Yes	SRF+
IL-12B	7	Yes	-0.2758288071734949	0.07963811088572506	1067.0509389007345	-0.43209388560640816	-0.11956372874058163	Yes	SRF+
CD5	1	No	0.025377031067606692	0.05098903991910491	1019.3477728957705	-0.0746784533576631	0.12543251549287648	No	SRF-
CD5	4	No	0.16765600121896548	0.05092560521248921	1015.877961887861	0.06772458858489316	0.2675874138530378	No	SRF-
CD5	7	No	0.5446817502661022	0.05149436463266596	1043.3503189741004	0.44363743353366225	0.6457260669985422	No	SRF-
CD5	1	Yes	-0.16488615611889865	0.09128267367239501	1026.069448155335	-0.34400819928778437	0.014235887049987073	Yes	SRF+
CD5	4	Yes	-0.07701721437687062	0.09374388658814273	1082.634531233636	-0.26095749360769915	0.10692306485395789	Yes	SRF+
CD5	7	Yes	0.041573769740196304	0.09322624454411801	1070.5997133290475	-0.1413531156268896	0.2245006551072822	Yes	SRF+
Flt3L	1	No	0.14439690306490094	0.05029293575916001	1086.905286499601	0.04571467106077587	0.243079135069026	No	SRF-
Flt3L	4	No	0.2486148939099762	0.0502231624230443	1083.2181878154072	0.15006919364861734	0.34716059417133505	No	SRF-
Flt3L	7	No	0.5332719083003067	0.050840743325537736	1111.7321674116636	0.4335172796460996	0.6330265369545138	No	SRF-
Flt3L	1	Yes	0.09235027759715252	0.09006035820831668	1093.4115709815667	-0.08436038912515355	0.2690609443194586	Yes	SRF+
Flt3L	4	Yes	-0.09647790259144434	0.09269478657793202	1149.7433478137555	-0.27834780153286937	0.08539199634998068	Yes	SRF+
