Assay	effect	term	estimate	std.error	statistic	df	p.value
MCP-1	fixed	(Intercept)	-0.891532933233214	0.2814360886300083	-3.167798904444246	583.3304214395614	0.0016162895306130473
MCP-1	fixed	Day4	-0.08671359666803738	0.060934958675548836	-1.423051702221514	1037.811294908212	0.1550216934266931
MCP-1	fixed	Day7	-0.07402516981144698	0.06142295672773994	-1.2051710590808404	1042.8406140010786	0.22841067576337126
MCP-1	fixed	AllocationPlacebo	0.057670638062904504	0.10359522691761681	0.5566920386087534	1277.0981562857512	0.5778353922763879
MCP-1	fixed	srf14Yes	0.2572732469311984	0.1243465375127327	2.0690020975039567	1260.7328641582421	0.038749304346482806
MCP-1	fixed	DEXcorrectedYes	-0.33803804923697006	0.08398628926922888	-4.0249194502848615	568.9757387473438	6.470740137771323e-5
MCP-1	fixed	cbmi	0.012289620877046083	0.005849545086437879	2.100953269945635	565.1537417227789	0.036087378794795816
MCP-1	fixed	Age	0.009606742391346281	0.0026754651718049194	3.5906811617605143	567.7801080009759	3.583803284282166e-4
MCP-1	fixed	GenderMale	0.19069439013004327	0.06511103630797767	2.928756796744128	570.9354065623777	0.003539040161894198
MCP-1	fixed	Day4:AllocationPlacebo	-0.07261034464335936	0.11422726440007278	-0.6356656182279464	1039.5914000030289	0.5251342906565728
MCP-1	fixed	Day7:AllocationPlacebo	0.1655189099000485	0.11588293416101894	1.4283286067822596	1048.9859341936192	0.1534949620504081
MCP-1	fixed	Day4:srf14Yes	0.17139355022380648	0.13974759649116644	1.2264507907629052	1068.5320974574574	0.22029927334468274
MCP-1	fixed	Day7:srf14Yes	0.39485170155934773	0.13915634129598262	2.8374682596713754	1071.324090166962	0.004633046579981747
MCP-1	fixed	AllocationPlacebo:srf14Yes	0.3144563122792839	0.19795030142277062	1.5885619270045293	1274.5461919633985	0.11240734616120217
MCP-1	fixed	Day4:AllocationPlacebo:srf14Yes	0.32977850757651345	0.22487770647652555	1.4664793266687743	1065.0165475188385	0.1428129457189969
MCP-1	fixed	Day7:AllocationPlacebo:srf14Yes	-0.5338704514425103	0.22523840017712238	-2.3702461526217853	1067.8553917367472	0.017953118025016392
CXCL11	fixed	(Intercept)	0.8296645247931662	0.29178949067750176	2.8433667123061226	573.2697800632665	0.004623127179950098
CXCL11	fixed	Day4	-0.6724289907212289	0.05327668905408343	-12.621448567095031	1022.4438689616962	4.804916365453832e-34
CXCL11	fixed	Day7	-0.8269079894916094	0.053723320649159106	-15.391974648993562	1026.2632645535698	2.9561371717649706e-48
CXCL11	fixed	AllocationPlacebo	0.009881657014241497	0.10096393697058187	0.09787313481169758	1107.7177514313892	0.9220507390579638
CXCL11	fixed	srf14Yes	0.035892003888270796	0.12134187622795709	0.2957923925689333	1093.18423762914	0.7674448086901997
CXCL11	fixed	DEXcorrectedYes	-0.2200422833349247	0.08723213865500301	-2.522490984718104	563.5817226702023	0.01192689951699413
CXCL11	fixed	cbmi	-2.5205703076812365e-4	0.006078826235015256	-0.04146475339535529	560.5062903972223	0.9669401570957528
CXCL11	fixed	Age	-0.003887079305385679	0.0027792422368878517	-1.3986111947328363	562.9596064960703	0.16248025044582046
CXCL11	fixed	GenderMale	0.08575336195599215	0.06760589314088021	1.2684302798469864	565.7327828923817	0.20516603216110618
CXCL11	fixed	Day4:AllocationPlacebo	-0.003298792068881375	0.09988261019746703	-0.03302669065575772	1023.4117816345347	0.9736597430680766
CXCL11	fixed	Day7:AllocationPlacebo	-0.03385129205946124	0.10140080931649359	-0.3338365076929921	1030.5873823795264	0.7385708471799909
CXCL11	fixed	Day4:srf14Yes	0.05650899375236315	0.12247174682626726	0.4614043256239677	1047.7995452493612	0.644604315478694
CXCL11	fixed	Day7:srf14Yes	0.1754138989362269	0.12198264050546698	1.4380234614479037	1050.6781114835678	0.15072516940911618
CXCL11	fixed	AllocationPlacebo:srf14Yes	0.2235236149556035	0.19296126018085197	1.1583859617526706	1105.4160574753375	0.24695676236881695
CXCL11	fixed	Day4:AllocationPlacebo:srf14Yes	-0.012275794199465088	0.1970295441947744	-0.06230433232556128	1045.3756064558831	0.9503323885323982
CXCL11	fixed	Day7:AllocationPlacebo:srf14Yes	-0.16293791101853902	0.19738882091881862	-0.8254667628089817	1047.7920124480788	0.4092945428739071
AXIN1	fixed	(Intercept)	-0.04190918982898694	0.28832477597373923	-0.1453541052358402	583.0634885941942	0.884481531463321
AXIN1	fixed	Day4	0.19538218385412756	0.06332822558560558	3.085230670011662	1038.0334185917557	0.002087784011852139
AXIN1	fixed	Day7	0.49102430211263454	0.06383307588945453	7.692317740774163	1043.1797016244227	3.333726996812663e-14
AXIN1	fixed	AllocationPlacebo	-0.0014195091233799725	0.10675032257217129	-0.013297469170833437	1290.7028224523344	0.9893925223537856
AXIN1	fixed	srf14Yes	-0.1549574909395367	0.1281190010943789	-1.2094809483051403	1274.2759855364022	0.22670246690725723
