Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
CCL4	1	Yes	-0.3755534480798948	0.0939539194955108	938.2255982799348	-0.5599376073047372	-0.19116928885505247
CCL4	4	Yes	0.14683610822704352	0.09616432341627064	991.7465151104303	-0.04187280485582151	0.33554502130990854
CCL4	7	Yes	0.397798165448128	0.09570075755594223	980.3262265104804	0.20999626172903546	0.5856000691672205
CD6	1	No	0.0017450246554773091	0.05217420553765233	947.2426341048125	-0.10064536830227531	0.10413541761322993
CD6	4	No	0.10639507496001813	0.052117850539099266	944.1474303848781	0.004114848107469676	0.20867530181256658
CD6	7	No	0.4014967315354577	0.052631050785428915	969.3704141765288	0.2982128090675633	0.504780654003352
CD6	1	Yes	-0.17854032616952586	0.09337329686042616	953.8362402130249	-0.3617811423521424	0.004700490013090669
CD6	4	Yes	-0.14559395102748712	0.09563101133761652	1008.1822876630044	-0.3332525763541709	0.042064674299196636
CD6	7	Yes	-0.21036214971980133	0.09515726300733819	996.5889601209059	-0.39709374022746785	-0.023630559212134805
SCF	1	No	0.446919698489984	0.052099177179419635	870.9991772693331	0.3446650951709339	0.549174301809034
SCF	4	No	0.04852840570106517	0.052052670609275944	868.4305226199423	-0.05363534005928452	0.15069215146141485
SCF	7	No	0.09553327964372679	0.05248423347602167	890.1091706994061	-0.007473993052214939	0.19854055233966852
SCF	1	Yes	0.32951684609692394	0.09319991559046982	877.0446779122632	0.1465959343742689	0.512437757819579
SCF	4	Yes	-0.30010281372393594	0.09513497287710376	926.1210459072458	-0.4868079370906874	-0.11339769035718444
SCF	7	Yes	-0.3301135168961372	0.0947301026635871	915.6502027173029	-0.5160268528247295	-0.14420018096754492
IL18	1	No	0.3375846013802289	0.05346854654738053	703.935965876339	0.23260768135900783	0.44256152140144994
IL18	4	No	-0.02059168014199808	0.05344612615935721	702.8166902604469	-0.12552486913942767	0.08434150885543151
IL18	7	No	-0.2933474164727958	0.053665487244044845	713.2431701185534	-0.3987086300634682	-0.18798620288212337
IL18	1	Yes	0.3929336589206837	0.09552966209752958	707.2670150134838	0.20537800236540793	0.5804893154759595
IL18	4	Yes	0.18342964586921673	0.09656315372436927	733.7041034406208	-0.0061433803539645004	0.37300267209239796
IL18	7	Yes	-0.18554996337260568	0.09634871143807204	728.1289197432434	-0.37470438902477265	0.0036044622795612935
SLAMF1	1	No	0.21720911711630803	0.05364918374012316	1041.7632772097404	0.1119363412692994	0.32248189296331664
SLAMF1	4	No	0.037648687095297534	0.053579833059094355	1038.2059051613544	-0.06748842483234543	0.1427857990229405
SLAMF1	7	No	0.09138478195379524	0.054198877738103	1066.1422512191289	-0.014963798940469175	0.19773336284805965
SLAMF1	1	Yes	0.0013913638411487128	0.09605387338874932	1048.4489319815182	-0.1870883515608363	0.18987107924313373
SLAMF1	4	Yes	-0.11943880924883557	0.09871967843317328	1105.1782913374616	-0.3131379541833964	0.074260335685725265
SLAMF1	7	Yes	-0.011585218533512173	0.09815864905171791	1093.1241287668543	-0.2041858889946006	0.1810154519275763
TGF-alpha	1	No	-0.1759669230674146	0.05398112011954587	1029.8663189149204	-0.28189246228200215	-0.07004138385282702
TGF-alpha	4	No	-0.18433655595538495	0.05391272507292289	1026.353589879455	-0.2901283116312442	-0.07854480027952572
TGF-alpha	7	No	-0.03896303439716495	0.05452466822792503	1054.0580218197092	-0.1459522726721419	0.06802620387781201
TGF-alpha	1	Yes	-0.2718767528002601	0.0966434793416741	1036.5755183115668	-0.46151592069535424	-0.08223758490516592
TGF-alpha	4	Yes	-0.031216099173812885	0.0992854828868373	1093.2480587697262	-0.2260277469809391	0.16359554863331335
TGF-alpha	7	Yes	0.22521794322251043	0.09872964817468095	1081.1973614770775	0.031494525822020225	0.41894136062300064
MCP-4	1	No	-0.20733212304797097	0.053147319820895614	802.7068690545352	-0.311656257212176	-0.10300798888376594
MCP-4	4	No	0.11055203909652142	0.05310955434468236	800.6957070837104	0.006301640269835346	0.2148024379232075
MCP-4	7	No	0.3975156784402643	0.05346686677595458	818.2936101353923	0.29256731663825897	0.5024640402422696
MCP-4	1	Yes	-0.49717457276015903	0.0950323424366075	807.8952670965781	-0.6837140018744636	-0.31063514364585443
MCP-4	4	Yes	0.12576967190752333	0.09666480189969834	849.5890057161683	-0.06396014979848125	0.3154994936135279
MCP-4	7	Yes	0.30733011802658516	0.09632428061618156	840.7154338598764	0.11826581108384304	0.4963944249693273
CCL11	1	No	-0.2385525781202847	0.05310502790759949	922.5854168894009	-0.3427732470212881	-0.13433190921928131
CCL11	4	No	0.12384020002475175	0.05305079785718142	919.6473891975273	0.019725522768322262	0.22795487728118125
CCL11	7	No	0.34109783737092053	0.05354751842900951	943.8491898711386	0.23601187359902254	0.4461838011428185
CCL11	1	Yes	-0.4969527625108989	0.09502702788404797	929.0485929095751	-0.6834452717258872	-0.31046025329591065
CCL11	4	Yes	-0.3301002671183157	0.09722530832721397	982.02622723038	-0.5208935208775777	-0.13930701335905374
