Assay	term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	adj.p.value
CD6	NPX_scaled	0.8566904383130082	0.10719380241459836	-1.4429811953512817	0.14902576855454763	0.694353117357818	1.0569816549390199	univariate_protein	0.27796992984711144
SCF	NPX_scaled	0.933273883451958	0.1049509515963431	-0.65798898215542	0.5105452109602628	0.7597569837270906	1.1464193948710941	univariate_protein	0.6454062100818416
IL18	NPX_scaled	1.096958603112478	0.10857213137065837	0.8523498890651637	0.3940199240618861	0.886693393678925	1.3570848565250566	univariate_protein	0.5499861440030492
SLAMF1	NPX_scaled	0.8391267139343969	0.10907982327519691	-1.6079376454166552	0.1078488359403053	0.6776081694559449	1.0391457390540193	univariate_protein	0.24829396170499932
TGF-alpha	NPX_scaled	1.0798893775830847	0.11086706299059296	0.6932501470947845	0.4881525827802171	0.8689785454453289	1.3419906324835154	univariate_protein	0.6289658278129721
MCP-4	NPX_scaled	0.74946787357036	0.11040429024542837	-2.6121432920085543	0.008997653305171868	0.6036382050419926	0.9305277380098925	univariate_protein	0.03349126508036195
CCL11	NPX_scaled	0.8556305767984889	0.11067152638200027	-1.4088227591227087	0.15888758365256728	0.6887831624154155	1.0628942806690909	univariate_protein	0.2877153541816759
TNFSF14	NPX_scaled	0.8955522323566895	0.10901744569592925	-1.011899800883439	0.3115859645009991	0.7232610920515817	1.1088855873666321	univariate_protein	0.45383173090362916
MMP-1	NPX_scaled	0.869898839026667	0.11153487997461231	-1.2496391362663224	0.21143139992843826	0.6990851698825842	1.0824489243092363	univariate_protein	0.33728342369536585
LIF-R	NPX_scaled	1.6506446740391971	0.10970693631383184	4.568224580712605	4.918728514600106e-6	1.3312845179476107	2.0466157333027652	univariate_protein	4.1194351309775886e-5
FGF-21	NPX_scaled	0.9989835501968537	0.1055424120179652	-0.009635621539486862	0.9923120053056586	0.8123075185129793	1.2285595181869093	univariate_protein	0.9923120053056586
CCL19	NPX_scaled	1.0565825127215709	0.10387566265095208	0.52986092880113	0.5962083573343209	0.8619544063575145	1.2951573748623442	univariate_protein	0.7124137403493875
IL-10RB	NPX_scaled	0.8681876285322897	0.10577669584796284	-1.3362813485969514	0.18145733045727172	0.7056288132322961	1.0681958335626855	univariate_protein	0.30783013713407914
IL-18R1	NPX_scaled	1.6878993276799554	0.11279352558302708	4.641088676759797	3.4657834292582356e-6	1.3531206353054122	2.105506387270044	univariate_protein	3.317249853718597e-5
PD-L1	NPX_scaled	1.6565652493885852	0.10593390627140865	4.7647287790981165	1.8910784448980005e-6	1.3459763908791649	2.0388235960731844	univariate_protein	3.167556395204151e-5
CXCL5	NPX_scaled	0.9557476375225619	0.1070788973681446	-0.4226918597244584	0.6725200955238764	0.7748140912899772	1.1789325425266364	univariate_protein	0.7386696131163889
TRANCE	NPX_scaled	0.6583536510284549	0.10656688778580696	-3.922541393061357	8.761983411596504e-5	0.5342559271672614	0.8112769700481042	univariate_protein	4.892107404808047e-4
HGF	NPX_scaled	1.293309604782535	0.10742451019698938	2.39428150530537	0.016652962098679055	1.0477618806252469	1.596402545991281	univariate_protein	0.05578742303057484
IL-12B	NPX_scaled	0.9506445895585263	0.10221681583200455	-0.4951730176512558	0.6204779952854728	0.7780563821534746	1.1615162556158243	univariate_protein	0.7167590635194254
MMP-10	NPX_scaled	1.2626927096546359	0.10840889634431307	2.1515440124828533	0.0314332858061658	1.0209861555466029	1.5616204689488473	univariate_protein	0.09156652821796124
IL10	NPX_scaled	1.6826957248145484	0.11160543158012566	4.66282956088386	3.1189105409099934e-06	1.352093969334222	2.0941332233760246	univariate_protein	3.317249853718597e-5
TNF	NPX_scaled	1.1719386409124586	0.1066872894897204	1.4871437485467616	0.13697684905400756	0.9508072585319676	1.4444990461939806	univariate_protein	0.27338532165243734
CCL23	NPX_scaled	1.3274556222996723	0.11026714556939234	2.56888887966615	0.010202516710227335	1.0694499063401033	1.6477054406460625	univariate_protein	0.03597729576764376
CD5	NPX_scaled	0.842523820266068	0.10881578311424249	-1.5747103861079017	0.1153233093638118	0.6807035660825094	1.042812794122615	univariate_protein	0.24829396170499932
CCL3	NPX_scaled	0.9790705404182939	0.10555285944958219	-0.20038855995911029	0.8411767058706061	0.7960992710884168	1.2040949639413847	univariate_protein	0.8806068639582908
Flt3L	NPX_scaled	0.8521350617456369	0.10807659582086206	-1.480526290871342	0.13873284979377418	0.6894669770694124	1.053181932719508	univariate_protein	0.27338532165243734
CXCL6	NPX_scaled	0.9584669984716282	0.10776995277122153	-0.39361757510246087	0.693863403582421	0.7759669316764725	1.1838893510248616	univariate_protein	0.7498201296777776
CXCL10	NPX_scaled	1.6639427349019786	0.10866488744717089	4.685873603218711	2.787682731792437e-6	1.3447534153111789	2.0588945107028356	univariate_protein	3.317249853718597e-5
4E-BP1	NPX_scaled	1.1152365294512094	0.10663317432438602	1.0228197476332221	0.306393079289685	0.9049001573113313	1.374463808601665	univariate_protein	0.45383173090362916
SIRT2	NPX_scaled	0.9923515815473652	0.10632003788529124	-0.07221421058889031	0.9424314362858783	0.8056859418687871	1.2222649176618425	univariate_protein	0.956710700472028
DNER	NPX_scaled	0.91790381907715	0.10722088580948372	-0.7989363774700157	0.42432730423022663	0.7439274661207779	1.1325666270528965	univariate_protein	0.580202640478065
EN-RAGE	NPX_scaled	1.2092831431637165	0.10547555715769885	1.8016282207838121	0.07160391814314135	0.9834381282429226	1.4869931095235038	univariate_protein	0.17768379687372113
CD40	NPX_scaled	1.0833442727472071	0.10541559173926138	0.7594019463558777	0.4476121495708248	0.8811230802185888	1.3319760197440522	univariate_protein	0.5998002804249053
IFN-gamma	NPX_scaled	1.1873042126153484	0.10817048394610397	1.5871739081058605	0.11247326245478759	0.9604773457175836	1.46769863920211	univariate_protein	0.24829396170499932
FGF-19	NPX_scaled	0.9535665917512528	0.10443060128092678	-0.45528816763915086	0.6489019376029003	0.7770689183854734	1.170152638189857	univariate_protein	0.7262258051372124
MCP-2	NPX_scaled	1.599193086111642	0.11369471468768708	4.129472351837114	3.63596721664725e-5	1.2797460180344227	1.9983797492843518	univariate_protein	2.4360980351536575e-4
CASP-8	NPX_scaled	1.0500845189577603	0.10781703208702034	0.45327397934665936	0.6503514672870558	0.8500612743416988	1.2971741334866507	univariate_protein	0.7262258051372124
CCL25	NPX_scaled	0.9445244744914958	0.10755064780957817	-0.5306679308353153	0.5956489126626241	0.7650079324804806	1.1661663167606424	univariate_protein	0.7124137403493875
CX3CL1	NPX_scaled	1.395936543614417	0.10812833587479395	3.084904107186874	0.002036177905365991	1.1293450957387996	1.725459154292778	univariate_protein	0.008526494978720088
TNFRSF9	NPX_scaled	0.6727049041195661	0.1096395197177744	-3.615927220354902	2.992744571709109e-4	0.5426243334719469	0.8339690281322593	univariate_protein	0.0013367592420300688
TWEAK	NPX_scaled	0.7291292822433416	0.11490025883873918	-2.7493777994223083	0.005970852195749435	0.5821049098986254	0.9132881396194971	univariate_protein	0.023532182183247777
CCL20	NPX_scaled	1.6443421699153193	0.10356485629495445	4.802212114434622	1.5692233410993273e-6	1.3422630317089095	2.0144048579803213	univariate_protein	3.167556395204151e-5
ST1A1	NPX_scaled	0.8580297218959517	0.10619770572925448	-1.4418064697192898	0.14935697723128374	0.6967976558181911	1.0565692888165197	univariate_protein	0.27796992984711144
STAMBP	NPX_scaled	1.2396261475276689	0.106058058820207	2.0253985658305025	0.04282645460678274	1.0069640013349606	1.52604560202458	univariate_protein	0.11477489834617775
ADA	NPX_scaled	1.139101909268675	0.11113726695232855	1.1718855125214316	0.2412430243217781	0.9161410994003077	1.4163245820418922	univariate_protein	0.37589029371067756
TNFB	NPX_scaled	0.667556357396308	0.10720550333409071	-3.7696895135700847	1.6345075730450422e-4	0.5410463185836929	0.8236475787632477	univariate_protein	8.424000568770603e-4
CSF-1	NPX_scaled	1.1490215681065366	0.10527285153832919	1.319530798858388	0.18699172060384167	0.9348022889923615	1.412331334144596	univariate_protein	0.30783013713407914
