Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
HGF	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4846109937124439	0.1635603294793837	1261.811499961784	-2.9628883437381908	0.003104782118488992	0.013868026795917497
HGF	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5087091585437679	0.16426292927639147	1270.940515564922	-3.0969200463228415	0.0019982408876412674	0.00892547596479766
IL-12B	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.3543115394610711	0.13384890790657317	1215.92475999869	2.647100712307502	0.008223433913020602	0.026236670103446685
MMP-10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.37695263148514035	0.15367467448453723	1015.4047704433824	-2.452926175048247	0.014337225734980452	0.04034571418883733
IL10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.35976927618496024	0.1510719549662966	1240.060811832949	-2.381443175639204	0.01739513359426468	0.046618958032629346
CCL23	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5305006674418266	0.15870826083451417	1107.0984262926308	-3.3426153412076136	8.576827762688264e-4	0.0052240678190919425
CD5	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.716967875899475	0.15677759471997565	1218.3689128440853	4.573152670061491	5.294284787100502e-6	5.0673868676533376e-5
Flt3L	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5573525631808602	0.15550356636729964	1286.040915027858	3.5841786539119798	3.50788204842042e-4	0.0019836688522889816
CXCL10	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5134732235891837	0.13571778351964223	1134.319781470703	-3.7833894002171755	1.627874501640612e-4	0.003838770932365551
CXCL10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7219527302392651	0.13904340036479904	1183.4773782475845	-5.192283332722914	2.44346246647638e-7	3.274239705078349e-6
CXCL10	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5388673184307141	0.13958712252313057	1192.8255578232674	-3.8604371856825117	1.1925406224293985e-4	7.990022170276971e-4
DNER	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.8088193786409222	0.1564736615501156	1111.1279006500588	5.169044877126956	2.788401646757089e-7	4.262119272324745e-6
EN-RAGE	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.44046385368791463	0.16156301775659	1275.8326407622787	-2.72626656647077	0.006493226350157832	0.022040587756453366
EN-RAGE	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.38486228272296824	0.162268063432754	1284.8638251060554	-2.3717685081171886	0.01784986188756578	0.04783762985867629
CD40	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.440071121352273	0.1616587432214158	1188.240343492172	-2.7222228292937416	0.006579279927299512	0.022040587756453366
MCP-2	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4404964729147479	0.14339230082219231	937.2301492929589	-3.0719673956621096	0.002187936114682831	0.016287968853749966
MCP-2	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4702117072639086	0.14604804852264117	982.1553393144387	-3.2195685736329014	0.0013259399004942937	0.006510220796592226
CCL25	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.369825851808607	0.16138655465538568	1044.0205629117836	2.291553051605253	0.022129857794237623	0.04942334907379736
CCL25	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5511422558780618	0.161901875142834	1052.597253900845	3.4041746297986353	6.886581340669166e-4	0.0035492380755756474
CX3CL1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.645536541939656	0.16243564338261218	1004.0292518765481	-3.974106473781216	7.569846938684666e-5	7.245424927026751e-4
CX3CL1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.44346631054330865	0.16291905507527854	1012.1598602595328	-2.722003944464324	0.006600180602379603	0.02327432107154913
TNFRSF9	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.43510828667091817	0.15104527589683772	1093.329482137669	2.8806480976478364	0.0040460674041994955	0.015946265651845072
TWEAK	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	0.5161517917386764	0.157927005788998	1154.6338930837535	3.2682934065646307	0.0011138599778219287	0.012288201699650938
TWEAK	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.42907096245934184	0.16188001781753963	1203.3272049997943	2.6505492663273738	0.008141533888622645	0.025975370025605585
TWEAK	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.500107958735462	0.1625289757229526	1212.6696229539448	3.077038765001187	0.0021375419459364006	0.008950956898608677
CCL20	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.46425263427672997	0.15290195747063717	1109.3085427297726	-3.036276591592254	0.0024510959362224064	0.016422342772690123
CCL20	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5026289197900098	0.15654649339831947	1158.805382994332	-3.2107325362511476	0.0013603446440640472	0.006510220796592226
CCL20	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.3881033324911879	0.15713934866037887	1168.1170918684593	-2.4698036220704043	0.013660816028716017	0.039794551040172745
ADA	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.46025206958414827	0.1669041778849342	1259.1826106384851	-2.7575826765789633	0.005907235305769422	0.022040587756453366
TNFB	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.519974527662862	0.15087500206105509	1142.3624181729629	3.446392845465826	5.887756869269831e-4	0.003944797102410787
TNFB	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.7679565437141768	0.15143386733474112	1151.6241525306743	5.0712337816522	4.6029043110482025e-7	5.139909814003826e-6
