Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
IL6	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.48712221947132905	0.11313564614432607	1152.6961461566743	-4.305647566195997	1.8064950556584083e-5	0.0010772619445455767
IL6	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.7003220431430259	0.11568407382269029	1194.5830962266607	-6.053746380131927	1.891990595277514e-9	6.338168494179673e-8
IL6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-1.0996399700526969	0.11493508802527617	1181.330632831161	-9.567487082890365	6.139992213957507e-21	4.1137947833515293e-19
MCP-1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4286667971550049	0.12743406015646705	1299.1841550971478	-3.3638322174517237	7.910808193545699e-4	0.0026501207448378092
MCP-1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6521249484905461	0.12651972201734782	1287.3014215454987	-5.154334344815662	2.9433324354190264e-7	1.9720327317307478e-6
TRAIL	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5035202255766357	0.12681107486738785	1240.8943309350575	3.9706328970335583	7.579839727753262e-5	4.231011176733802e-4
TRAIL	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.5492853310589737	0.1259498426323993	1228.0759972052463	4.361143448683244	1.4022096442005194e-5	7.226772781648832e-5
CXCL9	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4892654939984971	0.12394689245221667	1100.0766994546423	-3.947380078021045	8.402655590251555e-5	0.001876593081822847
CXCL9	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.34293017875371357	0.12658933427713204	1142.9708316774272	-2.7089974105003476	0.006849527031203202	0.018356732443624582
CXCL9	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6548320553837884	0.1258163764174078	1129.5381971046404	-5.204664718774929	2.307150599056711e-7	1.7175454459644405e-6
CST5	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5122542656653286	0.127502419121795	916.2526383028195	4.017604286990073	6.361405080433583e-5	3.8746740035368186e-4
CST5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.43777357905783776	0.12696280004069996	905.3472238097219	3.4480460333066256	5.90680381326996e-4	0.001978779277445437
CD6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4423939377567601	0.12513393323861513	1102.822368993411	3.535363480608964	4.241079762690696e-4	0.0014955386531593506
SCF	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.3070467117766822	0.12444229919975468	1019.7580657423296	2.467382182354338	0.013773847956074593	0.03295885046632135
SCF	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3002049745650317	0.12380169947482146	1007.0792682672511	2.424885731282605	0.015488244017182169	0.032428510910975164
SLAMF1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.33033035393599	0.12752007458022563	1182.4237767657505	2.5904184499842966	0.009703836934226174	0.04643979104236812
SLAMF1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.38353880271814833	0.13047445544352324	1223.3151347897137	2.939570059245549	0.003348403949658656	0.009754046288136085
MCP-4	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.4162495372962474	0.12378487642845452	885.2774230430502	3.3626849200502478	8.049843386798046e-4	0.00899127294058446
CCL11	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.513796444243029	0.12787175594611228	1085.4381667605992	4.018060442210187	6.272500077089602e-5	3.8746740035368186e-4
CCL11	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.47660257661352323	0.1271462379586203	1072.1592695429044	3.748459917222509	1.874207516109786e-4	7.38658256349151e-4
IL-10RB	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.34395980417077354	0.12586468515390897	1003.1357682513715	2.732774516935986	0.006390733402399417	0.017840797415031705
IL-18R1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.32032763508072387	0.11857804613252862	921.6638142779544	-2.701407600549515	0.00703142341360197	0.03649690091140628
IL-18R1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4547962366174215	0.12052196032645651	960.6215940331405	-3.7735549221529414	1.7079526686135293e-4	7.152051799819153e-4
IL-18R1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.4677930927256477	0.11996283914640424	948.8395865701464	-3.89948334045968	1.0318723857583654e-4	4.3209656153631547e-4
PD-L1	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.367600362246729	0.12027173240160287	989.2657473686066	-3.0564152931568644	0.002300124602305972	0.021521523220920828
PD-L1	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.6250308201898764	0.12248904782493325	1031.0649160821497	-5.10274862356019	3.9836059249229815e-7	6.672539924245994e-6
PD-L1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6728570680872639	0.12184707634398777	1018.252124825797	-5.522143725366983	4.2504879894799855e-8	3.559783691189488e-7
CXCL5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3489839455575795	0.12854119025627778	1020.4581358807915	2.714958099126016	0.006740277688554832	0.016128521611899062
TRANCE	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5501342991008882	0.11730100370417426	1239.2694176228922	4.6899368439190185	3.0357821129541273e-6	3.389956692798775e-5
TRANCE	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.8630314228831191	0.11650564057425906	1226.431323257738	7.407636391072713	2.384718846767672e-13	5.325872091114467e-12
HGF	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4874866599344454	0.1299769524533756	1254.4861864834638	-3.7505623168793187	1.8448405450209563e-4	7.27084214802377e-4
HGF	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.5948546731639109	0.12908240682627276	1241.8463422357509	-4.608332675145296	4.477505591082422e-6	2.7272079509320205e-5
IL-12B	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.31265445980667483	0.10596181393268503	1199.504322545256	2.9506333291472022	0.0032328174772321243	0.009754046288136085
IL-12B	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.46561793957720965	0.10527214325671774	1186.2854823826774	4.42299287515928	1.0627671819567046e-5	5.9337834325916004e-5
IL10	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4213041654476216	0.11732027469018569	1192.3242494863239	-3.5910601689280344	3.4273186896745933e-4	0.005740758805204944
IL10	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.5145420625027161	0.12006277698290999	1232.8164355206088	-4.285608541071452	1.964307910643367e-5	1.4623181112567287e-4
IL10	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.37270960449067025	0.11925391427021179	1219.9031650660033	-3.1253448305786025	0.0018178837508546102	0.005074925471135787
CCL23	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.35616320348262914	0.12368525464505623	1057.7255959267252	-2.8795930808787418	0.00406215244989687	0.030240468238121144
CCL23	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.32752253770620643	0.1261932054835596	1100.7201406261008	-2.5954054851937007	0.00957365484576993	0.024642574646209895
CCL23	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2957607182796263	0.1254624182210915	1087.3653390384309	-2.3573650378588504	0.018581586106491504	0.03772625057984639
CD5	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.35985439738607833	0.12330084940582806	1188.7376640038947	2.9185070428968927	0.0035833361061086873	0.009603340764371282
Flt3L	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5945677018376405	0.12302954949734972	1269.6496588953132	4.832722742355881	1.5110309992970542e-6	2.0247815390580526e-5
Flt3L	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3392316628499593	0.12217047655580533	1257.237093646125	2.7767073716455895	0.005572786079685768	0.013828765456998017
CXCL6	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3328092797297972	0.12819459934006835	1107.8792842996204	2.5961255890892643	0.009552923703127306	0.022070547865845846
CXCL10	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.45140561871700785	0.10813549151743249	1134.179347637179	-4.174444600774177	3.215707297150975e-5	0.0010772619445455767
CXCL10	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4933707620264595	0.11052651839938668	1176.5313766180843	-4.463822521249319	8.8239601982148e-6	7.390066666004895e-5
CXCL10	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6787421053664109	0.10982495378698447	1163.1804146708816	-6.18021753674391	8.840424841392365e-10	1.480771160933221e-8
DNER	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.4108476174586026	0.12398494731844777	1095.7349719348376	3.313689494930103	9.508521676242179e-4	0.003033671201467743
DNER	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.45123690336346367	0.12327166452973395	1082.4021986891082	3.6605079122187263	2.638654599666392e-4	9.821658787647126e-4
EN-RAGE	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3437499985196872	0.1253566636827464	1229.78721143685	-2.7421757122513433	0.0061919127283985515	0.03649690091140628
EN-RAGE	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.8696653042860938	0.1283827416287269	1268.466447202938	-6.774004770836719	1.911936736304503e-11	1.280997613324017e-9
EN-RAGE	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.5225471108815327	0.12748728904171974	1256.035068032671	-4.0988173394331975	4.419132346016997e-5	2.1148704798795628e-4
CD40	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2904678007867864	0.12768139407725185	1167.9359177415995	-2.274942272411616	0.023090017820732105	0.04297308872191809
IFN-gamma	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2922444250052629	0.1173059691511116	1283.8505718819738	-2.491300546085583	0.012853123962572701	0.028705310183079032
MCP-2	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3453938834495599	0.11424997768039126	937.2464138466933	-3.0231418024061454	0.002569734115930845	0.021521523220920828
MCP-2	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.30012487779996916	0.11617926102235006	977.0059589649971	-2.5832913306466327	0.009930589782801003	0.024642574646209895
MCP-2	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.2685002033687843	0.11562349077568002	964.9434099007403	-2.322194232050119	0.02042980880385654	0.0391084911388111
CCL25	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.44198622690145123	0.12835194453427434	1038.2235180768746	3.4435491297401097	5.97050103802886e-4	0.002105387208147019
CCL25	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.41285454048991205	0.1276717431459979	1025.3323478259815	3.2337189915061773	0.0012608989983130892	0.003968780671160192
CX3CL1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.41455645644366057	0.12856284683932034	986.2473803176472	-3.224543222520415	0.0013031817129182722	0.003968780671160192
TNFRSF9	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.47322229403140426	0.11970221912036005	1078.2165483489073	3.9533293326465513	8.209424671274541e-5	4.231011176733802e-4
TNFRSF9	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.29169310951591393	0.1190297614342044	1064.982106755604	2.450589718077793	0.014422222170654178	0.0311706092075429
TWEAK	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4099048516464401	0.12783550844430383	1183.0218866982136	3.206502298420708	0.0013795665511153802	0.004018737344553499
CCL20	Day*Allocation*srf14	Day1 Anakinra No - Day1 Anakinra Yes	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.4093722580190156	0.12182740184395872	1109.2353596274431	-3.360264208403258	8.051886215448771e-4	0.00899127294058446
CCL20	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4286068274455179	0.1244510581242795	1152.0241209262438	-3.4439789737866424	5.938261518653323e-4	0.002105387208147019
CCL20	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6919892704443367	0.12368295994372006	1138.6007428215128	-5.594863437608667	2.7641459672566107e-8	3.0866296634365484e-7
TNFB	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.4547354188747712	0.1199495024612634	1135.7012516712389	3.7910571494168877	0.00015789375831610516	7.052587871452697e-4
TNFB	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4845573987712697	0.11922347981448547	1122.2679051299317	4.064278274088731	5.153807883964273e-5	2.3020341881707085e-4
CSF-1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.3510069989500697	0.12101540059792046	1438.5648434291923	-2.900515118041112	0.003782116970484401	0.009746224500863649
