Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
MMP-1	7	No	0.19876762734733602	0.05962026735648033	856.5423151673734	0.08174869726064975	0.3157865574340223
MMP-1	1	Yes	-0.287732465739147	0.09816806044246179	829.3899274222543	-0.4804195180993095	-0.0950454133789845
MMP-1	4	Yes	0.05640956134333787	0.10012621079896807	877.554336343746	-0.1401052418256789	0.2529243645123546
MMP-1	7	Yes	0.14554989322999287	0.09983736714679915	870.3990496053312	-0.050400229616907516	0.3415000160768933
LIF-R	1	No	0.29983598391815874	0.05725577920713192	994.5191868929447	0.18747998044744707	0.4121919873888704
LIF-R	4	No	-0.1596881197236814	0.05682451013651694	976.0648551686145	-0.2712003903410866	-0.04817584910627622
LIF-R	7	No	-0.2724820712406034	0.05771905330313538	1014.9089289509558	-0.3857444090673765	-0.15921973341383033
LIF-R	1	Yes	0.6028630630008501	0.09462842570781956	976.107931874385	0.4171644971510018	0.7885616288506985
LIF-R	4	Yes	0.038781616403808464	0.09720496133524904	1036.215161154538	-0.15195939998249636	0.2295226327901133
LIF-R	7	Yes	-0.34803999413109565	0.0968247740783837	1027.4213074920253	-0.5380368874621	-0.15804310080009132
FGF-21	1	No	0.2591636389180049	0.055151358955560045	1161.2547692415105	0.15095618009722453	0.3673710977387853
FGF-21	4	No	0.30713074793962253	0.054633758423069584	1141.8313544838659	0.1999369235103325	0.41432457236891257
FGF-21	7	No	0.11475111374201333	0.055712335854157816	1183.0568819532402	0.005445114898839323	0.22405711258518735
FGF-21	1	Yes	0.29112825592711766	0.09096650973198163	1138.1812299871735	0.11264737639374281	0.46960913546049254
FGF-21	4	Yes	0.30349691666917317	0.09399252110008768	1197.8004105091318	0.1190886211006418	0.48790521223770456
FGF-21	7	Yes	0.04410691400895596	0.09354642962188613	1189.3392631863167	-0.1394274946326889	0.22764132265060077
CCL19	1	No	0.3942595990548974	0.0583231135291014	804.2676379193226	0.27977611219076026	0.5087430859190345
CCL19	4	No	0.033524160978992	0.05804365321111056	791.9602331534504	-0.08041343676755128	0.14746175872553527
CCL19	7	No	0.038688935478407856	0.058620431396670156	817.6338118255026	-0.07637532708014227	0.15375319803695797
CCL19	1	Yes	0.5647697829907656	0.09663445456159991	793.9428023404453	0.37508055907459315	0.7544590069069381
CCL19	4	Yes	0.14736493455394073	0.09835690843787935	837.3883271613909	-0.04569009920324879	0.34041996831113025
CCL19	7	Yes	0.0673988017315091	0.09810289691224967	830.9225517602805	-0.12515982675576798	0.25995743021878615
IL-10RB	1	No	0.0914439365734158	0.057566632156520546	876.0621783587135	-0.021540684620847364	0.204428557767679
IL-10RB	4	No	0.05108896960012321	0.057225525628607755	860.8848089831123	-0.06122890958779682	0.16340684878804324
IL-10RB	7	No	0.394562095580778	0.05793086136403275	892.661786784876	0.2808655355828218	0.5082586555787342
IL-10RB	1	Yes	-0.03872006956257966	0.09528717590003219	862.4768561078374	-0.2257419549903693	0.14830181586521002
IL-10RB	4	Yes	-0.04003739204846621	0.09736296882544843	914.398530498086	-0.23111822713477717	0.15104344303784475
