Assay	term	TP1	TR1	TP2	TR2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value
MCP-3	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	0.12480089041082729	0.09502734670827927	1135.8790183376077	1.3133155321483263	0.18934187313579756	0.28831603409314627
MCP-3	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	0.3208132900045089	0.0953359507962785	1143.699655942475	3.365081979305461	7.906031219797646e-4	0.001471400254795673
MCP-3	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	0.14602460806578854	0.05918929547468292	1039.8113797664923	2.467077989266619	0.013782325410780808	0.024300415855850372
MCP-3	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.44275696593411323	0.0944402471592456	1121.5075049185207	-4.688223286704601	3.0943503718332378e-6	1.5947805762525148e-5
MCP-3	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.19354142817546358	0.09579635535951128	1151.994968654755	-2.020342292241993	0.04357895215222637	0.34442352886713956
MCP-3	Day*Allocation	Day4	Anakinra	Day7	Placebo	0	0.0024709714182180337	0.09610179184306669	1159.555639488331	0.02571202233412158	0.9794914586548944	0.9794914586548944
MCP-3	Day*Allocation	Day7	Anakinra	Day1	Placebo	0	-0.5887815739999017	0.0942082106819733	1116.1115686720348	-6.249790434800868	5.83815441094573e-10	2.4447271595835243e-9
MCP-3	Day*Allocation	Day7	Anakinra	Day4	Placebo	0	-0.3395660362412521	0.0955657765003326	1146.7439853030005	-3.553217989497216	3.9601670066084717e-4	0.003316639868034595
MCP-3	Day*Allocation	Day7	Anakinra	Day7	Placebo	0	-0.1435536366475705	0.09587521696990427	1154.5937113244388	-1.4972966026520989	0.1345894117853519	0.5304406229187398
MCP-3	Day*Allocation	Day1	Placebo	Day4	Placebo	0	0.24921553775864966	0.07433963571308096	1052.7475182424114	3.352391162105159	8.296686012482195e-4	0.0019852784387010968
MCP-3	Day*Allocation	Day1	Placebo	Day7	Placebo	0	0.44522793735233124	0.07474243736695549	1055.0311770030692	5.956829253057939	3.5000549986635955e-9	9.019372496556188e-9
MCP-3	Day*Allocation	Day4	Placebo	Day7	Placebo	0	0.1960123995936816	0.07584754278407776	1047.8162697048274	2.584294657398306	0.009892178825515578	0.03156076101474018
CDCP1	Day*Allocation	Day1	Anakinra	Day4	Anakinra	0	0.5496546043502463	0.05337133248514279	1043.22080733242	10.29868618144874	9.372021551299822e-24	7.849068049213601e-23
CDCP1	Day*Allocation	Day1	Anakinra	Day7	Anakinra	0	0.3549404464742971	0.053175012017170925	1045.7163745386456	6.674948119610807	4.0056108518552576e-11	9.254342312906975e-11
CDCP1	Day*Allocation	Day1	Anakinra	Day1	Placebo	0	0.13120386670233458	0.09795426214208672	943.3908823807005	1.3394401002379859	0.18075003297663095	0.9706901703326503
CDCP1	Day*Allocation	Day1	Anakinra	Day4	Placebo	0	0.5222491185919578	0.09908000105388104	971.5688479561431	5.270984184870484	1.6720478533128918e-7	1.0184291470178523e-6
CDCP1	Day*Allocation	Day1	Anakinra	Day7	Placebo	0	0.33834130940737783	0.09932844075054323	978.2676040115288	3.4062883384739675	6.853199919011236e-4	0.0013118982702107224
CDCP1	Day*Allocation	Day4	Anakinra	Day7	Anakinra	0	-0.19471415787594915	0.05346966651201222	1029.6354797387185	-3.641581677570509	2.8445833862223964e-4	6.80668167417502e-4
CDCP1	Day*Allocation	Day4	Anakinra	Day1	Placebo	0	-0.4184507376479117	0.09860333939911137	959.0555542986142	-4.243778559610151	2.411184198455283e-5	8.974963405361331e-5
CDCP1	Day*Allocation	Day4	Anakinra	Day4	Placebo	0	-0.02740548575828846	0.09972191800807154	986.8528021378152	-0.2748190799546219	0.7835127610009733	0.9135777400542677
