Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
IL6	Day:srf14	14.095412685014939	7.047706342507469	2	1056.2332871349886	18.132266997072822	1.8089427459292768e-8	6.059958198863077e-7
MCP-1	Day	0.9169781373137654	0.4584890686568827	2	1066.9730065959839	0.839067876850017	0.4323980405977169	0.4457025956930312
MCP-1	srf14	29.20996187678391	29.20996187678391	1	584.7341058669477	53.45632506925657	8.738376380023007e-13	1.170942434923083e-11
MCP-1	DEXcorrected	8.58756581348263	8.58756581348263	1	570.2636385158515	15.715861308399141	8.295838399642136e-5	3.7054744851734874e-4
MCP-1	cbmi	2.426456874626724	2.426456874626724	1	567.3293123556639	4.44059009743767	0.035532372503147586	0.11336518846242326
MCP-1	Age	6.992969991866854	6.992969991866854	1	569.3834485983725	12.79763659609231	3.766025073542242e-4	0.0010513486663638759
MCP-1	Gender	4.750529324228545	4.750529324228545	1	572.6806206504825	8.693809354432368	0.003323168234058209	0.014434731049122917
MCP-1	Day:srf14	4.184041154472866	2.092020577236433	2	1066.9749749009497	3.828547688629763	0.02204046126037822	0.07383554522226704
CXCL11	Day	128.94223383002665	64.47111691501333	2	1047.319107790338	156.88052867409013	2.5415173168754735e-60	1.892018447007297e-59
CXCL11	srf14	2.1986503455234225	2.1986503455234225	1	577.6189318043206	5.350076826338696	0.02107176080333055	0.03815697226549045
CXCL11	DEXcorrected	2.674457528564361	2.674457528564361	1	565.128281676259	6.507880289256669	0.011002106963972021	0.024571372219537514
CXCL11	cbmi	0.0012969112269681723	0.0012969112269681723	1	562.8093883518306	0.003155833630094133	0.9552208945175185	0.9846123066565189
CXCL11	Age	0.7925258489677652	0.7925258489677652	1	564.777843541112	1.928489533349345	0.16547118709863398	0.23097019865850993
CXCL11	Gender	0.6951429763950281	0.6951429763950281	1	567.6399251352493	1.6915233186465422	0.19392804043479833	0.2887373046473664
CXCL11	Day:srf14	0.4760869591618118	0.2380434795809059	2	1047.323431837797	0.5792421274987427	0.5605022609446436	0.6698714662055648
AXIN1	Day	38.98188069923478	19.49094034961739	2	1067.7753075574353	33.42259671028061	8.336439958121237e-15	1.8618049239804096e-14
AXIN1	srf14	3.2369637683048915	3.2369637683048915	1	584.2523451208754	5.550667779657349	0.01880300396377383	0.03499447959924574
AXIN1	DEXcorrected	0.15089934252381104	0.15089934252381104	1	569.637330488687	0.25875857083102904	0.6111712722396414	0.6604592780654189
AXIN1	cbmi	0.004180637804313267	0.004180637804313267	1	566.6472748122151	0.007168857367523482	0.9325543630877192	0.9846123066565189
AXIN1	Age	0.33528717699291216	0.33528717699291216	1	568.6977340065096	0.5749424038939485	0.4486156981652386	0.5273202066152806
AXIN1	Gender	0.6377444043410732	0.6377444043410732	1	572.0258431960981	1.0935887980873245	0.29611910323712504	0.3815380753247573
AXIN1	Day:srf14	0.05385512365350727	0.026927561826753633	2	1067.7770467435794	0.04617473673323312	0.9548770024163431	0.9636623066910031
TRAIL	Day	15.170922577400669	7.585461288700334	2	1047.5171845543334	15.29735269846498	2.8288782348992767e-7	4.032656207196841e-7
TRAIL	srf14	14.03253878913868	14.03253878913868	1	569.7159311203054	28.2989638919012	1.496082105693918e-7	7.159821505820892e-7
TRAIL	DEXcorrected	7.526540980266582	7.526540980266582	1	556.0559044271337	15.178530031667364	1.0971952042019531e-4	4.594504917595679e-4
TRAIL	cbmi	0.5283260533288059	0.5283260533288059	1	553.3811223461528	1.0654579424982473	0.30242454584719	0.4824391564705174
TRAIL	Age	9.861482164105885	9.861482164105885	1	555.4053145894774	19.88732986069939	9.944643091597857e-6	4.123437958378379e-5
TRAIL	Gender	1.536104364005436	1.536104364005436	1	558.5239332614171	3.0978116351139544	0.07894496096218957	0.14508835897766198
TRAIL	Day:srf14	5.138155703636301	2.5690778518181503	2	1047.520106327	5.180975620773425	0.0057674885819375	0.021467874166100697
CXCL9	Day	5.947901279960231	2.9739506399801154	2	1059.113096972385	6.910919364593208	0.0010424174339532487	0.0012471780013369226
